"sp" "spn" "depth" "taxa" "ntip"
"species" "108" "0.0103137007661369" "Zotu112_P1_G01_8IZTPOCR_S505_N701;size=1" "8"
"species" "108" "0.0103137007661369" "Zotu170_P1_G01_8IZTPOCR_S505_N701;size=1" "8"
"species" "108" "0.0103137007661369" "Zotu66_P1_G01_8IZTPOCR_S505_N701;size=1" "8"
"species" "108" "0.0103137007661369" "Zotu23_P1_G01_8IZTPOCR_S505_N701;size=1" "8"
"species" "108" "0.0103137007661369" "Zotu107_P1_G01_8IZTPOCR_S505_N701;size=1" "8"
"species" "109" "0.00179392084920288" "Zotu141_P1_G01_8IZTPOCR_S505_N701;size=1" "3"
"species" "109" "0.00179392084920288" "Zotu70_P1_G01_8IZTPOCR_S505_N701;size=1" "3"
"species" "109" "0.00179392084920288" "Zotu99_P1_G01_8IZTPOCR_S505_N701;size=1" "3"
"species" "110" "0.00905676581429347" "Zotu152_P2_D03_12MMOC3R_S504_N708;size=1" "3"
"species" "110" "0.00905676581429347" "Zotu133_P2_D03_12MMOC3R_S504_N708;size=1" "3"
"species" "110" "0.00905676581429347" "Zotu8_P2_D03_12MMOC3R_S504_N708;size=1" "3"
"species" "111" "0.00360335064909213" "Zotu10_P1_G01_8IZTPOCR_S505_N701;size=1" "4"
"species" "111" "0.00360335064909213" "Zotu37_P1_G01_8IZTPOCR_S505_N701;size=1" "4"
"species" "111" "0.00360335064909213" "Zotu34_P1_G01_8IZTPOCR_S505_N701;size=1" "4"
"species" "111" "0.00360335064909213" "Zotu59_P1_G01_8IZTPOCR_S505_N701;size=1" "4"
"species" "112" "0.00601927944848058" "Zotu80_P1_G01_8IZTPOCR_S505_N701;size=1" "2"
"species" "112" "0.00601927944848058" "Zotu48_P1_G01_8IZTPOCR_S505_N701;size=1" "2"
"species" "113" "0.0011937491689237" "Zotu75_P1_G01_8IZTPOCR_S505_N701;size=1" "2"
"species" "113" "0.0011937491689237" "Zotu109_P1_G01_8IZTPOCR_S505_N701;size=1" "2"
"species" "114" "0.00756802022291744" "Zotu90_P1_G01_8IZTPOCR_S505_N701;size=1" "5"
"species" "114" "0.00756802022291744" "Zotu113_P1_G01_8IZTPOCR_S505_N701;size=1" "5"
"species" "114" "0.00756802022291744" "Zotu102_P1_G01_8IZTPOCR_S505_N701;size=1" "5"
"species" "114" "0.00756802022291744" "Zotu112_P1_G01_8IZTPOCR_S505_N701;size=1" "5"
"species" "114" "0.00756802022291744" "Zotu170_P1_G01_8IZTPOCR_S505_N701;size=1" "5"
"species" "115" "0.00971087119924384" "Zotu66_P1_G01_8IZTPOCR_S505_N701;size=1" "3"
"species" "115" "0.00971087119924384" "Zotu23_P1_G01_8IZTPOCR_S505_N701;size=1" "3"
"species" "115" "0.00971087119924384" "Zotu107_P1_G01_8IZTPOCR_S505_N701;size=1" "3"
"species" "116" "0.00299759793388398" "Zotu41_P2_D03_12MMOC3R_S504_N708;size=1" "3"
"species" "116" "0.00299759793388398" "Zotu15_P2_D03_12MMOC3R_S504_N708;size=1" "3"
"species" "116" "0.00299759793388398" "Zotu111_P1_E02_21MMC3_S517_N701;size=2" "3"
"species" "117" "0.00199397807596261" "Zotu61_P1_G01_8IZTPOCR_S505_N701;size=3" "4"
"species" "117" "0.00199397807596261" "Zotu182_P2_A01_16IZPOC1_S502_N707;size=2" "4"
"species" "117" "0.00199397807596261" "Zotu167_P1_G01_8IZTPOCR_S505_N701;size=1" "4"
"species" "117" "0.00199397807596261" "Zotu65_P1_G01_8IZTPOCR_S505_N701;size=1" "4"
"species" "118" "0.00603542649246631" "Zotu175_P1_D05_13SHC4C1_S505_N703;size=2" "2"
"species" "118" "0.00603542649246631" "Zotu85_P1_D05_13SHC4C1_S505_N703;size=2" "2"
"species" "119" "0.00239409252948206" "Zotu66_P1_G01_8IZTPOCR_S505_N701;size=1" "2"
"species" "119" "0.00239409252948206" "Zotu23_P1_G01_8IZTPOCR_S505_N701;size=1" "2"
"species" "120" "0.00360110333828589" "Zotu152_P2_D03_12MMOC3R_S504_N708;size=1" "2"
"species" "120" "0.00360110333828589" "Zotu133_P2_D03_12MMOC3R_S504_N708;size=1" "2"
"species" "121" "0.00481019139338324" "Zotu7_P1_C11_7IZPOC1W_S506_N706;size=4" "3"
"species" "121" "0.00481019139338324" "Zotu66_P1_C11_7IZPOC1W_S506_N706;size=3" "3"
"species" "121" "0.00481019139338324" "Zotu169_P2_B05_16IZPOC1a_S507_N709;size=1" "3"
"species" "122" "0.0066310671957892" "Zotu101_P2_D03_12MMOC3R_S504_N708;size=1" "3"
"species" "122" "0.0066310671957892" "Zotu113_P2_D03_12MMOC3R_S504_N708;size=1" "3"
"species" "122" "0.0066310671957892" "Zotu125_P2_D03_12MMOC3R_S504_N708;size=1" "3"
"species" "123" "0.00481210375254746" "Zotu90_P1_G01_8IZTPOCR_S505_N701;size=1" "4"
"species" "123" "0.00481210375254746" "Zotu113_P1_G01_8IZTPOCR_S505_N701;size=1" "4"
"species" "123" "0.00481210375254746" "Zotu102_P1_G01_8IZTPOCR_S505_N701;size=1" "4"
"species" "123" "0.00481210375254746" "Zotu112_P1_G01_8IZTPOCR_S505_N701;size=1" "4"
"species" "124" "0.00299759793388398" "Zotu176_P1_D05_13SHC4C1_S505_N703;size=7" "3"
"species" "124" "0.00299759793388398" "Zotu160_P1_E02_21MMC3_S517_N701;size=2" "3"
"species" "124" "0.00299759793388398" "Zotu110_P2_D03_12MMOC3R_S504_N708;size=1" "3"
"species" "125" "0.00371494064481422" "Zotu45_P1_A01_32TCONS2_S502_N701;size=7" "7"
"species" "125" "0.00371494064481422" "Zotu183_P1_E02_21MMC3_S517_N701;size=2" "7"
"species" "125" "0.00371494064481422" "Zotu40_P1_E02_21MMC3_S517_N701;size=2" "7"
"species" "125" "0.00371494064481422" "Zotu161_P1_D05_13SHC4C1_S505_N703;size=1" "7"
"species" "125" "0.00371494064481422" "Zotu26_P2_A03_11MMOC3W_S502_N708;size=1" "7"
"species" "125" "0.00371494064481422" "Zotu74_P2_D03_12MMOC3R_S504_N708;size=2" "7"
"species" "125" "0.00371494064481422" "Zotu173_P2_G03_2SHCN5C2J_S506_N708;size=1" "7"
"species" "126" "0.00239409252948206" "Zotu22_P1_D10_4SHC5C2R_S502_N706;size=2" "2"
"species" "126" "0.00239409252948206" "Zotu3_P1_G01_8IZTPOCR_S505_N701;size=1" "2"
"species" "127" "0.00238935618153822" "Zotu147_P1_G01_8IZTPOCR_S505_N701;size=1" "2"
"species" "127" "0.00238935618153822" "Zotu156_P1_G01_8IZTPOCR_S505_N701;size=1" "2"
"species" "128" "0.00359260573095707" "Zotu60_P1_D10_4SHC5C2R_S502_N706;size=2" "2"
"species" "128" "0.00359260573095707" "Zotu117_P1_G01_8IZTPOCR_S505_N701;size=1" "2"
"species" "129" "0.0011937491689237" "Zotu101_P2_D03_12MMOC3R_S504_N708;size=1" "2"
"species" "129" "0.0011937491689237" "Zotu113_P2_D03_12MMOC3R_S504_N708;size=1" "2"
"species" "130" "0.0060033696251878" "Zotu55_P1_G01_8IZTPOCR_S505_N701;size=3" "2"
"species" "130" "0.0060033696251878" "Zotu86_P1_G01_8IZTPOCR_S505_N701;size=1" "2"
"species" "131" "0.00239409252948206" "Zotu113_P1_G01_8IZTPOCR_S505_N701;size=1" "2"
"species" "131" "0.00239409252948206" "Zotu102_P1_G01_8IZTPOCR_S505_N701;size=1" "2"
"species" "132" "0.00359260573095707" "Zotu90_P1_G01_8IZTPOCR_S505_N701;size=1" "2"
"species" "132" "0.00359260573095707" "Zotu112_P1_G01_8IZTPOCR_S505_N701;size=1" "2"
"species" "133" "0.00238935618153822" "Zotu66_P1_C11_7IZPOC1W_S506_N706;size=3" "2"
"species" "133" "0.00238935618153822" "Zotu169_P2_B05_16IZPOC1a_S507_N709;size=1" "2"
"species" "134" "0.00239000374379594" "Zotu175_P2_D03_12MMOC3R_S504_N708;size=1" "2"
"species" "134" "0.00239000374379594" "Zotu186_P2_D03_12MMOC3R_S504_N708;size=1" "2"
